State,Code,Recent_Avg,Predictions,Future_Avg,Change_Pct,Severity,Case_Score,Death_Score,Recovery_Lag,Risk,Color
West Bengal,WB,38.6,"[46, 47, 48, 44, 50, 47, 37]",45.6,18.2,66.0,68.2,46.1,90.6,Medium,#FFA500
Punjab,PB,5.0,"[5, 5, 5, 6, 7, 6, 7]",5.9,18.1,65.9,68.1,100.0,9.1,Medium,#FFA500
Odisha,OR,14.6,"[17, 17, 17, 15, 17, 18, 13]",16.3,11.5,60.7,61.5,100.0,0.0,Medium,#FFA500
Rajasthan,RJ,4.3,"[5, 5, 5, 6, 7, 6, 7]",5.9,34.7,57.9,84.7,51.6,0.0,Medium,#FFA500
Bihar,BR,7.0,"[7, 8, 8, 8, 9, 9, 9]",8.3,18.0,57.6,68.0,78.5,0.0,Medium,#FFA500
Haryana,HR,3.6,"[2, 2, 3, 3, 4, 5, 4]",3.3,-8.0,57.1,42.0,100.0,30.3,Medium,#FFA500
Delhi,DL,8.4,"[7, 8, 8, 9, 8, 10, 12]",8.9,5.6,57.0,55.6,97.3,0.0,Medium,#FFA500
Ladakh,LA,1.8,"[3, 3, 3, 3, 4, 4, 3]",3.3,80.9,56.7,100.0,22.5,0.0,Medium,#FFA500
Madhya Pradesh,MP,3.0,"[3, 3, 3, 3, 3, 4, 5]",3.4,14.3,55.1,64.3,47.6,43.5,Medium,#FFA500
Jharkhand,JH,5.7,"[5, 4, 5, 4, 5, 5, 5]",4.7,-17.8,52.8,32.2,89.0,49.8,Medium,#FFA500
Chandigarh,CH,0.8,"[0, 0, 1, 1, 1, 1, 1]",0.7,-10.2,49.9,39.8,100.0,0.0,Medium,#FFA500
Uttar Pradesh,UP,15.6,"[9, 11, 11, 12, 13, 17, 15]",12.6,-19.3,45.4,30.7,100.0,0.0,Medium,#FFA500
Maharashtra,MH,401.2,"[334, 302, 319, 303, 338, 312, 344]",321.7,-19.8,45.1,30.2,100.0,0.0,Medium,#FFA500
Lakshadweep,LD,3.1,"[3, 3, 3, 3, 3, 3, 3]",3.0,-3.9,45.1,46.1,45.8,41.8,Medium,#FFA500
Telangana,TG,24.0,"[26, 27, 28, 28, 29, 30, 31]",28.4,18.5,42.4,68.5,27.2,0.0,Medium,#FFA500
Chhattisgarh,CT,22.1,"[21, 25, 25, 29, 20, 25, 25]",24.3,9.7,40.6,59.7,35.9,0.0,Medium,#FFA500
Meghalaya,ML,64.4,"[76, 61, 67, 67, 66, 65, 61]",66.1,2.7,40.3,52.7,31.1,23.0,Medium,#FFA500
Uttarakhand,UT,15.6,"[15, 16, 17, 15, 16, 16, 18]",16.1,3.4,40.0,53.4,30.1,21.2,Medium,#FFA500
Jammu & Kashmir,JK,20.8,"[17, 16, 16, 17, 21, 21, 20]",18.3,-11.9,37.7,38.1,17.7,66.7,Low,#44BB44
Sikkim,SK,33.6,"[32, 31, 31, 27, 31, 31, 27]",30.0,-10.7,32.8,39.3,25.5,27.6,Low,#44BB44
Himachal Pradesh,HP,36.4,"[30, 28, 28, 30, 30, 31, 32]",29.9,-17.9,32.3,32.1,7.3,70.1,Low,#44BB44
Karnataka,KA,157.4,"[145, 120, 128, 129, 136, 154, 132]",134.9,-14.3,32.0,35.7,22.3,37.4,Low,#44BB44
Assam,AS,76.3,"[72, 81, 80, 79, 77, 75, 74]",76.9,0.7,31.2,50.7,19.5,0.0,Low,#44BB44
Goa,GA,21.9,"[17, 18, 15, 19, 20, 19, 22]",18.6,-15.2,30.3,34.8,24.2,28.0,Low,#44BB44
Mizoram,MZ,138.0,"[104, 97, 108, 99, 109, 133, 108]",108.3,-21.5,30.1,28.5,6.2,70.0,Low,#44BB44
Kerala,KL,1750.0,"[1424, 1415, 1614, 1637, 1598, 1602, 1662]",1564.6,-10.6,29.1,39.4,7.7,35.4,Low,#44BB44
Nagaland,NL,18.1,"[15, 15, 16, 12, 12, 12, 14]",13.7,-24.2,29.0,25.8,46.2,11.3,Low,#44BB44
Puducherry,PY,7.6,"[5, 5, 6, 7, 7, 6, 6]",6.0,-20.8,28.4,29.2,45.8,0.0,Low,#44BB44
Tamil Nadu,TN,25.0,"[38, 19, 14, 14, 14, 18, 19]",19.4,-22.3,28.3,27.7,44.0,6.3,Low,#44BB44
Manipur,MN,43.0,"[36, 33, 45, 41, 32, 33, 27]",35.3,-18.0,26.8,32.0,36.0,0.0,Low,#44BB44
Gujarat,GJ,1.0,"[0, 1, 1, 1, 1, 1, 1]",0.9,-12.2,18.9,37.8,0.0,0.0,Low,#44BB44
Arunachal Pradesh,AR,48.4,"[32, 32, 30, 31, 31, 36, 33]",32.1,-33.6,16.6,16.4,11.4,24.7,Low,#44BB44
Tripura,TR,53.9,"[29, 29, 36, 33, 38, 36, 40]",34.4,-36.1,13.3,13.9,16.7,7.0,Low,#44BB44
Andhra Pradesh,AP,125.6,"[85, 88, 85, 100, 85, 77, 84]",86.3,-31.3,13.2,18.7,10.1,4.1,Low,#44BB44
Dadra & Nagar Haveli,DN,1.0,"[1, 1, 1, 0, 0, 0, 1]",0.6,-38.8,5.6,11.2,0.0,0.0,Low,#44BB44
Andaman & Nicobar,AN,0.8,"[0, 0, 0, 0, 0, 0, 0]",0.0,-83.7,0.0,0.0,0.0,0.0,Low,#44BB44
